text,label
@user @user @user يكفي ان لديكم ابن الزانية رجل مهم وسيد عندكم اي جهل هذا الذي تحملون لا هندوس وبو… http,1
@user لابس نظارات كرمال كثافة إشعاعات بول البعير,0
امرابط مشا للدوري الهولندي.. مبروك تفارق مع شاربي بول البعير,1
@user متبرجه واذنبت وبعدين ؟ شيء بينه وبين ربي وهي امرأه عاقله وواعيه للي يدور حوله وحولينه ! يمكن هذي ربي راض… http,0
ارتفاع معدل التحرش والاعتداء الجنسي والعنف ضد النساء خلال العام الحالي في اقليم كردستان - الفجر نيوز http,0
@user @user محدش وسخ الا انت روح اتشطر على الصهاينه اللى هتكه عرضكم واعمل راجل عليهم,0
@user ما هو تخصص الشنقيذي هذا هل هو مدرس في السياسة ام عام الإجرام ام انه جاء ليقبض بالدولار ويكذب على خنازير ا… http,1
في بلادك تقدري تخيري أنك تقعدي عزباء حتى 25 / 30 سنة بلا ما يقولو عليك بايرة,0
@user من أراد التشيع فليتشيع،  نحن لسنا عليهم وكيل ، فيه كثير من السنه خنازير أكتر من الشيعة .,0
@user @user انت احد افضل اللاعيبين الافارقة والعرف المحترفين و ان شاء الله في خلال سنتين حتكون في نادي كبير,0
خنازير الشمال الخونة يطلقون على اي سعودي شريف يدافع عن وطنه ضد خبثهم مسمى وطنجي لانهم مو متوقعين فيه شعب يدافع… http,1
@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… http,0
يبدوا ان تأثير شرب بول البعير قد وصل الى عملاء التحالف اليمنيين الهاربين او  المحتجزين بالسعودية والامارات ..!!,0
@user @user @user @user انا مو نفس نوعيتك .. اركض ورا رقص الحريم وانشر .. الهدف من وراء تغريدتي… http,1
@user يا من تشرب بول البعير وبول بن سلحان لا تحاول ترمي ما ابتلاك الله فيه على غيرك,1
@user @user @user جهله لاتفقهون الا شرب بول البعير واكل الضب والضب انكس ماخلق الله,0
@user ماله شغل سواقه شباب او حريم,0
ياخبرة ردو ع هذا بول البعير @user,0
@user @user @user سوداني ويسأل عن بول البعير انتوم رعاة الإبل طيب,0
@user @user @user انتم استخدمتو حمير وضليتو خنازير,1
للتعريف( بنظام مكافحة جريمة التحرش والتدابير اللأزمة للو…,0
