text,label
@user vous utilisez un média (twitter) dont la violence est coutumière. quittez le réseau et vous serez tranq… http,0
(c’est le même inshaallah que les arabes qui veulent pas dire non c’est pas un inshaall…,0
@user un homme comme ca qui se dit contre l'avortement et autres un mangeur de balustre le peuple américain n'en a… http,0
cette œuvre d'un #artiste #français pour les #réfugiés - une immense fresque sur la pelouse de la perle du lac à… http,0
@user @user il parler du prénom et nom bande d'attardé,0
la ministre des armées florence parly s’est entretenue avec les forces françaises aux Émirats arabes unis sur la ba… http,0
@user @user vous connaissez un autre mot que extreme droite madame la gauchiste? ca fait un peu cuc... http,0
t’aime pas les meufs renois ? — bah pourquoi je les aimerai pas ? http,1
@user j aime bien quand un #bobo #gauchiste commence,0
@user vue comment il parle mal c'est sur,0
dakar : des militaires français impliqués dans une rixe http @user http,0
@user l'autre mongol quesqu'il raconte 2 viewers t'as pas la motiv l'autre papi avec sa radio il est resté… http,0
@user @user @user « c’est pas un drame en soit » mais tu m’a qd même traite de « mongol » pe… http,0
nasser il déçoit quand il réagit comme ça. ferme les yeux sur les vrais problèmes de l'équipe et s'attarde… http,0
@user encore plus que les cis.nnsans deconner sur tout les putains de mecs trans que j'ai vu passer sur http,0
@user @user sale arabe ???? et toi t'es quoi ?,0
@user un braqueur black? un braqueur non? un violeur et pédophile juif ou un prédateur sexuel tout court? k… http,0
@user un mec qui traite un arabe de sale rebeu c’est du racisme par contre deux types qui tabassent un père d… http,0
@user @user hey es mongol ou quoi? parle de meurtres,0
paris première mise en demeure pour des propos d'eric zemmour sur les migrants musulmans http http,0
@user @user @user @user un daron rebeu aurait sorti pareil sur les renois vous savez… http,0
@user @user ton histoire mongol gauchiste big bisou avec le hitler http,0
@user les renois aux states c vraiment des baisés sans déconner,0
rt @user @user nous sommes ici en plein delire de la raclure gauchiste super tare et totalement tordu qui ne comprend rien,0
la france et les usa sont entrain de se battre pour voir qui est le pays le plus attardé c'est pas possible autrement,0
@user mathilde c est normal il bien une tète intello attardé !doux baisers,0
les arabes les noirs les juifs les p… http,0
@user @user ah ouais genre les animaux se privent eux ? il est excellent ce mec et apres ca se dit francais,0
il lui faut un foursome avec quatres renois à celle là http,0
mdrrrr saint denis c’est vraiment l’afrique ko,0
@user @user @user @user un gauchiste c'est comme le poison ça agit d'une mort lente,0
rt @user j'suis pas un gauchiste mais la il 100% raison. c'est inadmissible @user les poissons ont besoin de plus d'espac,0
@user mais biensur que oui mongol,0
@user mdrr bah non ah je sais pas trop je t'avoue que je m'attarde pas trop sur leur profil haha,0
coé seus mongol,0
@user @user @user @user ? quelle forme de violence ? je pose juste la question de savoir ce q… http,0
@user et un qatariennes qui pleure sniff les juifs nous veulent du mal encore un complotiste de mes 2,0
les rebeus qui font des gâteaux sur insta elles aiment trop mettre des vents qd tu les dm,0
@user un jour t’avais dis t’aimes bien les renois sur twitter je m’en rapl très bien et puis même en vrai tu… http,0
@user la sphère médiatique c est de la merde et des vendu comme tout les sale noire et arabe qui passe à la… http,0
@user remarque la photo elle peut donner un putain de scénario de film : 4 renois et leur beurette à chicha,0
t’aimes bien les rebeus ? — j’ai rien contre mdrr http,0
maitena biraben.. la rumeur raconte qu en bonne gauchiste elle prévoit de reverser l'intégralité de la somme à des… http,0
@user omg j'etais pas pret pour celle la http,0
@user comme propagande gauchiste et dictaturielle vous faites fort,0
@user @user @user @user monde de mongol,0
le figaro un journal pour bobo attardè !!! http,0
#guatemala : les partisans de l’élargissement de l’ #avortement ont dû se résoudre à retirer l’article d’une propos… http,0
comment sortir du débat des « pour ou contre » l’avortement pour entrer dans un dialogue d’écoute d’amour et de co… http,0
mon dieu j’suis complètement attardé c’est quitte ou double la,1
