text,label,split
"RT @user: जब इन लोगों को मौका मिला तो NRHM में घोटाला कर दिया, एंबुलेंस में घोटाला कर दिया।  जब मुझे सेवा का अवसर मिला तो हर गरीब को साल…",0,train
"RT @user: स्त्री को प्यार कम दोगे तो वो  समझौता कर लेगी, लेकिन   सम्मान नहीं दोगे तो वो अंदर  से मर जायेगी फिर लाख  कोशिश कर लो,वो…",0,train
"@user @user @user @user साला मोदी से चुनाव तो नहीं जीत सकते, ऐसे ही छुटकारा मिल जाये 🤣🤣🤣",0,train
Rohit geya 😍🙌,0,train
RT @user: मुस्कुराहट तुम्ही से मिलती है  दर्द की राहत तुम ही से मिलती है रूठना नहीं कभी मुझसे❣  क्यों कि मुझे जीने की  राहत  तुम…,0,train
RT @user: बनारस में 90 नामांकन रद्द किए गए हैं।   चुनाव आयोग ने भी सिद्ध कर दिया है कि वो चुनाव आयोग नहीं मोदी आयोग है।  चुनाव आयु…,0,train
RT @user: #Gita #KabirIsGod कबीर जी ने समझाया है कि  हे मानव शरीर धारी प्राणी! यह मानव जन्म बहुत युगों पर्यन्त प्राप्त होता है। तत्व द…,0,train
@user @user @user जरूर यही होगा।,0,train
भगवान श्रीरामचन्द्र जी कहते हैं-  जननी जन्मभूमिश्च स्वर्गादपि गरीयसी।  अर्थात् माता तथा मातृभूमि की गरिमा स्वर्ग से भी बड़ी है।  मातृशक्ति की महिमा अपार है।   #HappyMothersDay,0,train
पप्पू है तो सब नामुमकिन है।  #ModiHaiTohMumkinHai,0,train
RT @user: मसूद का वैश्विक आंतकवादियों में नाम आ गया पता करो यूएन में चुनाव आ गया क्या   - आहत इंदौरी 😫😫  #MasoodAzhar #ModiCrushe…,0,train
RT @user: को लोग ईसा मसीह की मृत्यु के रूप में याद करते हैं इससे साबित होता है कि ईसा मसीह की भी मृत्यु होती है जबकि पूर्ण परमात्मा…,0,train
"RT @user: औऱ जो लोग मोदी की जाति जानने चाहते हैं, वो लोग सुन लें-  मोदी की एक ही जाति है- गरीब।  गरीबी से ही निकलकर मैं यहां प…",0,train
RT @user: चौकीदार को चोर कहने पर राहुल गाँधी ने 1 नहीं 2 बार नाक रगड़-रगड़कर माफी माँगी... अब बताओ फेंकू कौन..??😊 #मोदी_है_तो_मुम…,0,train
@user बेगुनाह कन्हैया पर राष्ट्रद्रोह तो मोदी पर कयों नही विदेश से घोषित हुए देश को बांटने वाले प्रमुख Chief  कया मोदी भी जेल जायेगा,0,train
RT @user: @user चोट करोगे कपूतों पर तो दर्द कहीं और से उठेगा  2014 से जनता के सामने वो सारे कपूत मुखर होकर आ गए लोकतंत्…,1,train
"@user @user यही राजनीति है, कितनों की मौत हुई कुछ रुक तो नहीं। अगर मेरा पक्ष है तो आपका भी है। बंगाल में रोज़ लोग मर रहे हैं किसी को परवाह नहीं है। त्रिपुरा में जानें तो बची हैं। आयोग दुबारा चुनाव करवा रहा है कहीं विरोध का स्वर नहीं सुना मैंने।",0,train
दो कौड़ी का आदमी 6 करोड़ मे टिकिट बेच रहा है इससे अच्छे दिन क्या होगे ? #AAP,0,train
वाह..... इसमें भी मोदी 😂😂 तुम्हारी बीबी के बच्चा पैदा होगा तब भी मोदी को ही जिम्मेदार ठहराना।,0,train
"RT @user: मोदी जी रणनीति में विश्वास ही नहीं करते, उनके किसी काम में रणनीति नहीं है। वो इवेंट्स में विश्वास करते हैं। हम रणनीति में वि…",0,train
"@user अगर ये वहम है तो चाहूंगा की ये वहम हमेशा बना रहे।,🤗",0,train
"RT @user: भाई, अब समझ में आया मोदी जी प्रेस कॉन्फ़्रेन्स क्यूँ नहीं करते? http",0,train
"@user @user खुलासा - चुनाव मे लाभ लेने के लिए मोदी और डोभाल ने अपने ही विमान को मार गिराया http Source : ""The Dailygraph"" via Dailyhunt  डाउनलोड करें: http",0,train
बार-बार थप्पड़ मारने से अच्छा है…  मुझे कहीं बांध के बेल्ट से मार लो बे:- केजरी…🙈,0,train
RT @user: @user @user चमचों का क्या है  जहां बोझा ( पैसा )  वही के हो जा। http देश हित के लिए…,0,train
@user इसके लिए क्या पराग्वे क्या पुर्तगाल...सब जमीन का टुकड़ा ही है। इसको मतलब है बस उसे हथियाने से।,0,train
RT @user: ना जाने कब तक चलेगा ये जुदाई का दौर ऐ खुदा ज़रा ये तो बता मेरी खता क्या थी।!,0,train
"RT @user: #वेद_मेरा_भेद_है  गीता अध्याय 13 के श्लोक 25 में वर्णन है कि है ,अर्जुन जितने भी स्थावर जंगम जीव है वह क्षेत्र तथा क्षेत्र…",0,train
"RT @user: रामचरित मानस में साफ लिखा है.......  ""जब जब होहिं धरम पर हानि बाढ़ाहिं असुर अधम अभिमानी तब तब प्रभु धरि मनुज शरीरा हर…",0,train
"RT @user: अच्छे लोगो का दिल #कमल जैसा होता है, कीचड़ में भी खिलता है ओर खुद पर एक बूंद कीचड़ की लगने नहीं देता।            http",0,train
@user गौर से देखिये ऐसा लग रहा है कि मेरा वोट फूल (कमल) पर गया है।जयहिन्द,0,train
@user @user क्या बात है इतनी गर्मी में इससे बेहतर कुछ नही हो सकता ।।,0,train
RT @user: @user @user @user @user @user देखिए कैसे मोदी जी ने इसकी जुबान बदल दी http,0,train
@user हा चाटना हा मस्त,0,train
RT @user: बंगाल से ममता दीदी का जाना सुनिश्चित हो गया है। 23 मई के बाद बंगाल के अंदर परिवर्तन का सूर्योदय होने वाला है: श्री अमित शाह…,0,train
@user यही तो फर्क है,0,train
@user सोचिये 1988 में डिजिटल कैमरा यूज़ करने वाले मोदी जी कितने गरीब हुआ करते होंगे। कुछ तो फ़कीरी हैं मोदी जी में।,0,train
"RT @user: गुंडे से याद आया, संजय जी, दिल्ली का जो गुंडा 2014 में मोदीजी से हारा था, वो इसबार वाराणसी से क्यों नही लड़ रहा? फट गई…",1,train
RT @user: #TuesdayThoughts  ज्ञान है यह ऐसा 21 ब्रह्मांड में भी नहीं है ऐसा?  जिसे सुनकर पूरे भारत क्या विश्व में खलबली मची हुई है यह…,0,train
RT @user: uff dil to karta hai pore twitter ko moj karwa du per kiya karu log ratween kam karte hain warna har ghar me ja kar free me…,0,train
