text,label
"Espero que tenham gostado da nomeação do Juíz Neil Gorsuch para a Corte Suprema. Ele é um homem bom e brilhante, respeitado por todos.",0
eu mesmo minha afilhada [URL],0
mundo perfeito coxinha: temer até 2018 eleições bolsomito presidente,1
[USR] não sou tua miga E daí que são de 2013? Preconceito não é opinião pra mudar conforme o tempo passa. É algo puro e simples! Gordofóbico,1
"O dia que todos os muçulmanos morrer,certeza que o inferno vai sobrecarregar.",1
"Duda é muito burra , veio pra formatura e esqueceu do documento Dela , a mulher barrou ela  , KKKKKKKKKKKK",0
"[USR] sim, coloquei na ordem de serem mais pesados mesmo",0
Final de semana = foda-se !,0
"Sapatão fala 'AAAAAAAAAA' de alegria, de aleluia kkkkkkkk [URL]",0
em glee quando cantaram run the world e eu babei pela heather Morris nitidamente como eu nao sabia que eu era sapatao gente eu tombei,0
RT [USR]: Povo comendo lixo - esta é a prosperidade comunista bolivariana. Luladrão e sua ORCRIM tem que apodrecer na cadeia. htt _,1
"NA MINHA ÉPOCA NÃO TINHA REDE SOCIAL, PROBLEMATIZAÇÃO, IUTUBERS... A GENTE JOGAVA BOLA, FAZIA SEXO, TRABALHAVA... _ [URL]",0
Caso Rufino António não avança na Procuradoria Geral da República [URL] #notícia [URL],0
[USR] Novo filme: 'O Curioso Caso de Quem Sempre Atacou A Igreja Católica e o Cristianismo Mas Agora Defende o Papa Francisco',0
New post: 'União Europeia ameaça com sanções países que não recebem refugiados' [URL],0
[USR]  chorando de rir aqui,0
"RT [USR]: Essa mentira de ontem contra o Trump é um divisor de águas, a imprensa oficialmente perdeu qualquer compromisso com a verd _",0
#MamãeEuQuero #MamãeEuQuero Mamãe Eu Quero Lacrar Entrei No Feice Entrei No Feice E Um Textão Agora Eu Vou Postar,0
#PrecisamosFalarSobreAborto Vc deveria ter sido abortado,1
hj comprei um negro baratin graças ao #BlackFriday,0
"Quem é mais demente, essas mães ou o jornal que pública uma MERDA dessas? [URL]",1
falou tudo !!! FEMINISMO é capacho da esquerda e PONTO FINAL [USR] [URL],0
o brasil em crise e esse drogados só querem saber de droga [URL],0
O que o feminismo já fez por uma muçulmana?,0
"#AlexandraParkClub Este paraíso apenas 40min de Curitiba, no Litoral... Faça seu Evento (Empresas, Igrejas,... [URL]",0
"Pegar um táxi e, depois de um tempo em silêncio, dizer para o taxista: 'foi aqui nesse cruzamento que eu morri atropelado'.",0
aqui no barzinho na barra com a elite opressora bjs boa noite,1
[USR] [USR] [USR] OK...existem mulheres de direita e de esquerda. Se vc nao é bandida..foi pra vc tambem,0
"Enquanto não prenderem o contabilista d Salgado, o motorista d Sócrates e o porteiro do Banco de Portugal, a Justiça não terá credibilidade.",0
"O 'bullying' dos hipócritas da comunicação social e dos diversos sectores da sociedade. Força, [USR] [URL]",0
"RT [USR]: Não concordo em usar familiares para atacar adversários políticos, porém uma bandeira da [USR] é a educação dos _",1
"Gosta de futebol, cerveja e mulheres.",1
RT [USR]: Com Bolsonaro acaba essa estória de tratar criminosos como cidadãos de primeira categoria e o resto como resto. #Bolson _,1
RT [USR] Emilly pede para tirar todas as caixas de leite da casa 'Agora só bebo leite de saquinho' desabafou a sister [URL],0
[USR] feminismo é massa de manobra da esquerda...e nao tem como elas negarem isso..tb nunca vi contra o F _ [URL],0
"[USR] [USR] poxa, cê tá com medo de ficar enrugada? tá com medo que o filho da empregada entre na tua sala da facul?",1
Não se iludam: um dia isto chegará Portugal. Só votando #PNR se vai evitar esta invasão. [USR]  [URL],1
RT [USR]: Campanha #PelaVidaDasPessoasTrans pq a luta contra a transfobia tbm é uma luta feminista [URL] [URL] _,0
[USR] que é moita? #nuncafui hehehe,0
o lula nunca acertou a nota azul do guitar hero,1
A Esquerda é o próprio Zumbi dos Palmares: Quer libertar os negros de uma escravidão pra escraviza-los em outra [URL],1
RT [USR]: meudeus que FARDO deve ser ter nascido hétero e branco aff que tragédia grega isso,1
"[USR] mas podem ir à Torre, ver a neve.",0
FECHEM O JUDICIÁRIO BRASILEIRO!! FALAR A VERDADE AGORA DÁ MULTA! #paíspiada [URL],0
Sexta à noite = puteiro,0
Porque a bandidagem continua muito bem armada. [URL],0
"Parabéns a Thomas Perez, que acaba de ser nomeado como líder do CND. Eu não poderia estar mais feliz por ele (ou pe _ [URL]",0
Imagina se fosse um dossiê sobre os hábitos sexuais da Hillary... o que ia ter de sjw achando um absurdo o machismo cristão conservador.,0
[USR] isso é coisa de seres humanos!,0
DOMINGO DE MANHÃ DE CARNAVAL: PAUSA NA PUTARIA E ÁLCOOL PARA IR NA IGREJA AGRADECER PAPAI DO CÉU. AMÉM. #PAZ,0
Feliz dia internacional da mulher! [URL],0
"RT [USR]: Já notaram? Nunca, jamais um terrorista, ditador ou genocida foi chamado, na nossa mídia, de 'extremista de esquerda'.",1
[USR] [USR] Quem tem Mitomania sou eu que sou fã do Bolsonaro   hahahahahahah  (zuera),0
"Entenderam porque essa PRESIDENTA deveria ser CASSADA????Vivíamos no conto do vigário. A mentirosa compulsiva,... [URL]",1
mas puta que pariu que ódio de mulher machista e burra,1
[USR] essa mulher é burra demais ou se faz? pqp,1
RT [USR]: Semana da moda em Milão. Uma imagem vale mais que mil palavras e é uma mostra da UE dos dias de hoje. [URL] _,0
RT [USR]: Passando Camp Rock na Disney e eu só vendo o quanto ela era gorda e feia quando não tinha dinheiro,1
RT [USR]: Vejam a participação do [USR] na audiência do Escola Sem Partido. Parabéns. deu show! [URL],0
"Sinceramente, se forem refugiados de países vizinhos não vejo o porque do desespero (tem a questão da cri$e, óbvio) _ [URL]",1
[USR] vc q é burra. Aqui eu só defendi esses direitos.(reconheco q mulher n eh igual homem).,1
Vamo invadir essa Hilux ae [URL],0
Perfeito! Pena que sua [USR] faz isso O TEMPO TODO!! [URL],0
RT [USR]: Bem lembrado  [URL],0
"vou começar a andar de burca ai essas coisas não acontecem, ou sim já que homem é um ser desgraçado",0
"O Lula falou que o melhor que a Marisa fez foi ficar submissa a ele e não dar palpite. A platéia, repleta de femini _ [URL]",0
Por ex obras em angola vieram ou nao do BNDES? Quero entender [USR] [USR] [USR] _ [URL],0
[USR] [USR] então achar gorda feia é falta de autoestima? Ataaaa,1
Meu voto vai para: [URL],0
"Um retardado se mata de beber, aí depois tentam proibir todo o resto de beber tb [URL]",1
RT [USR]: O Barça viu o PSG de branco e pensou que fosse o Real... aí deu no que deu né kkkkkk,0
"[USR] Para as mulheres de direita, a comemoração será sempre essa ! [USR] [USR] _ [URL]",1
"[USR] Puts,o [USR] não é gay... Legal a gente ver que as aparências enganam e não fazem a MENOR diferença. #namoradalinda",1
"a feminista pode até dar a alma dela no primeiro encontro, mas por favor  #usecamisinha , seja uma puta consciente!",1
"Me preparando pra ir pra Melbourne, Flórida. Vejo vocês todos em breve! [URL]",0
e foi criado um novo termo 'nudez intelectual'....a mesma que acontece quando voce ta cagando pelado antes do banho _ [URL],0
RT [USR]: [USR] imenso. Fantasias e todo resto. Porque não introduzir diversidade? Antes de sermos adultos e trancafiados no _,1
"[USR] Miga, dá uma fuçada lá, primeiro livro da minha amiga [USR] www.aescritoraeomusico.blogspot.com (eu reviso)",0
"Comece por você mesmo, maconheiro [USR]. [URL]",0
"Ator comunista (c/ pingente do genocida Che) vivendo uma vida de gastos exorbitantes em mansões na França, jatinhos _ [URL]",0
"Confissões de um [USR] : Na hora do banho, toma sem pressa, curte a água, não limpa o umbigo e soca uma bronha (melhor parte) !",0
Presidente dos dragões voltou a mostrar o seu descontentamento | Invicta de Azul e Branco [URL],0
"Bom dia, sapatão!",1
"[USR] Rachel, você é uma mita!!!!!!!",0
"Oscares, Prémios Nobel e afins: só politiquice, interesses e influências. Vergonha!  Seriedade e mérito? Pois... #AcademyAwards #NobelPrize",0
[USR] ter tempo pra cuidar da família é 'o grande problema' pra mulher ou pra qq pessoa que trabalha E tem filhos?,0
[USR] repito! Por que voce deletou o seu twitter?,0
[USR] vai um homem falar o recíproco!!!,0
"E tbm pelos refugiados, por qm não tem casa, pelos q passam fome, por qm foi abandonados pelos pais ou familiares e enfim por todos q sofrem",0
[USR] Pra ser mulher hoje em dia e aguentar o movimento feminista...tem que ser muito macho. kkkkk,1
"RT [USR]: Liberal demais  MBL entrou na política, na velha política [URL]",0
"Não adianta, o progressismo não tem como dar certo. #AmorESexo [URL]",0
"A ameaça do terrorismo radical islâmico é bem real, veja o que acontece na Europa e no Oriente Médio. Os tribunais _ [URL]",0
g1: União Europeia ameaça com sanções países que não recebem refugiados [URL] #G1 [URL],0
[USR] Desrespeito é deixar as pessoas humildes esperando ou sem consulta quando era para  FUNCIONÁRIO estar trabalhando. Medico n é Deus !,0
RT [USR]: a maconha que te faz rir é a mesma que faz sua mãe chorar,0
Dia de Portugal - 2016: [URL] via [USR],0
[USR] dizem que não...,0
ashsahashsahdsas melhor meme,0
"De acordo com [USR] , 99% (!!!) dos afegãos são a FAVOR da Sharia, a absurda lei islâmica! Mas o malvadão é _ [URL]",1
