text,label
RT [USR]:  “Filha de petista posta foto em que coloca maconha na boca de cachorro”  [URL] _,0
"“Apropriação de culturas árabes: não é moda, é pacto narcísico” by [USR] [URL]",0
"«Na Alemanha, multiplicam-se à enésima potência os ataques aos campos de refugiados. (...) não são os refugiados que atacam os alemães.»",0
Vamos para rua contra a Ideologia de Gênero.Parabéns Peru. [URL],0
"[USR] Reparei que ficaste chateado com uma coisa que nem era para ti.Se me querias dizer alguma coisa, era mais rápido enviar msg",0
[USR] hahahahahahaha duvido que vou viver pra isso,0
É espantosa a total falta de nível dos comentários de certos jovens da esquerda caviar. Apenas se safam aqueles que têm algum humor.,0
"[USR] vishii.. eu tive q entrar pelo google, digitar facebook. depois de algumas tentativas consegui entrar na minha conta..ufa",0
"RT [USR]: MEU NETO PEDIU PRA SER 'TRANS' COMPREI UM CARRINHO DE MÃO, AGORA ELE É TRANSPORTADOR DE BRITA. DESLIGUEI DO [USR] _",1
"Apesar de serem da Australia, AC/DC é uma banda de homens de verdade!",1
Quem é o animal? #Lixo [URL],0
[USR] #Abril. Seminário sobre Ideologia de Gênero.(Com certificado) 08 e 09 Abril. #Ariquemes/RO. [URL],0
Quem é a gata de óculos com vestido branco/ floriado que passou pelo prédio rosa  indo para o lado da biblioteca pelas 19:30?  ;),0
"Feliz dia da: Gorda, da feia, da magrela, da bruxa, da velha, da frágil, da empregada...",1
RT [USR]: Não concordo [URL],0
"RT [USR]: Fufas decentes hj é o nosso dia, mulheres",1
[USR] acordei sapatão hj,1
[USR] seja bem vindo,0
"[USR] [USR] Oh fds um ucraniano de merda vem para aqui, volta para a tua terra fdp",1
Negociação do salário mínimo em Portugal [URL] #PNR,0
Video que explica porque a imigração em massa para países desenvolvidos não soluciona a miséria dos subdesenvolvidos [URL],0
"Gosta de futebol, cerveja e mulheres.",1
QUEM MATOU MAIS,0
"[USR] esse não era bandido, para a Felgueiras, era meigo.",1
Hoje é noite de novidades por aqui. Muitas novidades. Apareçam a partir das 21h00,0
[USR] se vcs jogarem o user dela e a palavra 'negro' vão ver que só fala bosta,1
O Raúl José até quando vai cagar deve pedir autorização ao Jorge Jesus #LibertemORaulJosé,0
"Brilhante! #AlbertoGonçalves goza, entre outros, a inenarrável comunicação social e os bem-pensantes cá do sítio. [URL]",0
"vcs sabem como minhas irmãs fazem para saber q estão grávidas? enfiam uma banana na xana, se voltar mordida é porque estão.",0
é pra desenha????? [URL],0
"RT [USR]: #Muçulmanos em #Portugal - Lisboa, Martim Moniz #Muslims in Portugal - Lisbon, Martim Moniz [URL]",0
RT [USR]: quem é playboy safado fortalece no RT,1
"Meu Deus, não pode ser sério isso!! Numa cidade em que pessoas morrem na fila do hospital! Absurdo!! [URL]",0
RT [USR]: meudeus que FARDO deve ser ter nascido hétero e branco aff que tragédia grega isso,1
"Eles revelam-se. Faltam-lhes argumentos e faltas-lhe nível. Agressividade e ofensa é o seu registo, [USR] [URL]",1
[USR] não sou tua miga E daí que são de 2013? Preconceito não é opinião pra mudar conforme o tempo passa. É algo puro e simples! Gordofóbico,1
Este plot twist no final da cerimónia foi escrito pelo George R. R. Martin não foi? #Oscars,0
Egípcio tenta entrar no Louvre com uma naifa - Terrorista. Canadiano de olhos azuis dispara sobre 40 pessoas numa mesquita - Lobo Solitário.,1
[USR] o que é que andaste a fumar?!,0
Que coisinha mais abençoada e fofa.... Lindo. [URL],0
KKKLKKKKKKKKKKK......Mais KKKLKKKKKKKKKKK pra vc. [URL],0
Bela lógica camarada liberal:'Se não colocares actores muçulmanos na tv eles vão-se juntar ao ISIS.MAS HEY O ISLÃO NÃO É ODIO',1
Se vc tem um namorado que diz que não olha para as gostosas e que não bate umazinha nunca! FUJA: é uma franguinha sem caráter !!!,1
"[USR] não dá p comparar, meu caro. Educação académica tem um processo exato a ser seguido, a educação moral, sexual e social não.",1
"RT [USR]: Não é que ninguem te ama, ou você é gorda ou é feia, é simples!",1
"Os 'homens' do governo da Suécia. Sem bolas, afeminados... Não é por acaso que os 'refugiados' deitam e rolam naque _ [URL]",1
O que o feminismo já fez por uma muçulmana?,0
Q mulher estúpida! [URL],1
Essa foi na mosca. E eu achando que o problema fosse só aqui no Brasil com essa 'geração lacre' [URL],1
RT [USR]: Se vc trabalha em uma empresa de infláveis 2016 foi o ano mais lucrativo e estranho da história dessa indústria [URL] _,0
